# monster   hd_num hd_sides hd_mod ac st dx cn nt ws ch 
halfling    1      8        1      10 10 10 10 10 10 10
human       1      8        0      10 10 10 10 10 10 10
elf         1      8        0      10 10 10 10 10 10 10
dwarf       1      8        2      10 10 10 10 10 10 10
orc         1      8        1      10 10 10 10 10 10 10
goblin      1      8        1      10 10 10 10 10 10 10
green_slime 1      4        0      10 10 10 10 10 10 10
bat         1      1        0      12  1 15 10 10 10 10
wolf        1      8        4      10 10 10 10 10 10 10
warg        2      8        4      10 10 10 10 10 10 10
